player,player_handle,season_from,season_to,team_from,team_from_name,team_to,team_to_name,has_transaction,player_match_score,txn_player_matched,txn_date,txn_type,txn_team_raw,txn_team_abbrev,team_abbrev_match,txn_raw,near_miss_player,near_miss_score,near_miss_date,near_miss_raw
Rusty Nails,"rusty ""champion"" nails",8,12,BFB,Blubs Bay Flappy Bois,SMD,Sopher McDophers,Y,1.0,CF Rusty Nails,2025-08-02,sign,Sopher McDophers,SMD,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Ryan Gastings,ryan gasting,1,5,GHG,Gas House Gorillas,ACP,Acadia Peregrines,Y,1.0,Ryan Gasting,2020-09-26,draft,Acadia Peregrines,ACP,Y,"With the 8th overall pick in the S5 Draft, the Acadia Peregrines select @Ryan Gasting",,,,
Ryan Gastings,ryan gasting,8,9,ACP,Acadia Peregrines,NO,New Orleans Crawdads,N,0.667,Ryan Sir,2023-08-20,unretire,Reapers,,N,"We have been lacking here so have 1 big post to catch us up!

*Session 2 moves*
:ACP: sign 1B **Cookie Mongster**
:Valky",Ryan Sir,0.667,2023-08-20,"We have been lacking here so have 1 big post to catch us up!

*Session 2 moves*
:ACP: sign 1B **Cookie Mongster**
:Valky"
Ryan Gastings,ryan gasting,9,10,NO,New Orleans Crawdads,MIA,Miami Fuego,Y,1.0,P Ryan Gastings,2024-04-27,release,Raccoon City,RC,N,"## Session 6 Transactions

:RC: Raccoon City release P **Ryan Gastings**

:POR: Portland Pioneers release 3B/UTIL **Talo",,,,
Ryan Gastings,ryan gasting,10,11,MIA,Miami Fuego,HFX,Halifax Helmsmen,Y,1.0,P Ryan Gastings,2024-12-01,sign,Halifax Highlanders,HFX,Y,:HFX: Halifax Highlanders sign P **Ryan Gastings**,,,,
Sandy Collazo,kal,3,4,HFX,Halifax Helmsmen,BUF,Buffalo Bullfrogs,N,0.5,Sal De Luca,2019-07-23,draft,Ursa Major Grizzlies,,N,With the 44th pick the Ursa Major Grizzlies select @Sal De Luca,Sal De Luca,0.5,2019-07-23,With the 44th pick the Ursa Major Grizzlies select @Sal De Luca
Sandy Collazo,kal,6,7,BUF,Buffalo Bullfrogs,REK,Reykjavik Valkyries,Y,1.0,P Sandy Collazo,2022-08-27,re_sign,Reykjavik Valkyries,REK,Y,:Valkyries: Reykjavik Valkyries re-sign P **Sandy Collazo**,,,,
Sarah Buntingsworth,sarah,5,6,POR,Portland Pioneers,BUF,Buffalo Bullfrogs,Y,1.0,sarah,2021-04-28,draft,Israel,MAL,N,":israel: With the 89th pick in the WNC draft, Israel selects @sarah",,,,
Scherbie Fully-Loaded,,6,7,BBG,Baldur's Gate Beholders,KYM,Kentucky Mashers,Y,1.0,Center Fielder Scherbie Fully-Loaded,2022-01-21,sign,Kentucky Mashers,KYM,Y,:Mashers: Kentucky Mashers sign Center Fielder **Scherbie Fully-Loaded**,,,,
Scherbie Fully-Loaded,,7,8,KYM,Kentucky Mashers,ASS,Aruba Sea Serpents,Y,1.0,CF Scherbie Fully-Loaded,2022-08-28,sign,Aruba Sea Serpents,ASS,Y,:SeaSerpents: Aruba Sea Serpents sign CF **Scherbie Fully-Loaded**,,,,
Schmidt Happens,,11,12,SUN,Sunnydale Slayers,HFX,Halifax Helmsmen,Y,1.0,LF Schmidt Happens,2025-08-02,sign,Halifax Highlanders,HFX,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Sheridan Blackstone,side eye master,6,7,NO,New Orleans Crawdads,BBG,Baldur's Gate Beholders,Y,1.0,Side Eye Master,2021-04-28,draft,Israel,MAL,N,":israel: With the 80th pick in the WNC draft, Israel selects @Side Eye Master",,,,
Shovel Bryant,shovel bryant,5,6,KYM,Kentucky Mashers,NO,New Orleans Crawdads,Y,1.0,Shovel Bryant,2021-06-17,sign,crawdads,NO,Y,:crawdads: sign **Shovel Bryant** (2B),,,,
Simba Martinez II,,5,6,POR,Portland Pioneers,TT,TT,Y,1.0,Simba Martinez II,2020-11-18,sign,Gus Buster to Hiatus &,ASS,N,"**Session 4 Transactions (Effective Session 5)**

:otters: **Art Vulfmon** Retires & Sign **Finn Hudson**

:pioneers: **",,,,
Simba Martinez II,,6,7,TT,TT,BUF,Buffalo Bullfrogs,Y,0.903,Simba Martinez,2022-01-22,draft,buf Buffalo Bullfrogs,BUF,Y,"With the 2nd overall pick in the S7 Draft, the :buf: Buffalo Bullfrogs select **C Simba Martinez**",,,,
Six,,9,10,OGO,Ogaki Oni,MIA,Miami Fuego,Y,1.0,Six,2023-04-19,draft,Freedom Flyers,CAR,N,"🇺🇸 With the 19th overall pick of the WNC Draft, the Freedom Flyers select **P Six**",,,,
Six,,10,11,MIA,Miami Fuego,RLY,R'Lyeh Ancients,Y,1.0,LF Six,2024-10-03,sign,Carolina Reapers,CAR,N,:CAR: Carolina Reapers sign LF **Six**,,,,
Six Finger McMillan,,6,7,ACP,Acadia Peregrines,MAL,Malibu Waverunners,Y,1.0,Pitcher Six Finger McMillan,2022-01-18,sign,Malibu Waverunners,MAL,Y,:Waverunners: Malibu Waverunners sign Pitcher **Six Finger McMillan**,,,,
Sleve McDichael,,2,5,ACP,Acadia Peregrines,MAL,Malibu Waverunners,Y,1.0,sleve,2021-04-28,draft,San Marino,GRZ,N,":sanmarino: With the 88th pick in the WNC draft, San Marino selects @sleve",,,,
Sleve McDichael,,6,7,MAL,Malibu Waverunners,HMH,Humongous Melonheads,Y,1.0,sleve,2021-04-28,draft,San Marino,GRZ,N,":sanmarino: With the 88th pick in the WNC draft, San Marino selects @sleve",,,,
Sonar McDeuceski,,11,12,SUN,Sunnydale Slayers,MIA,Miami Fuego,Y,0.889,RHP Sonar McDeuceski,2025-08-02,sign,Miami Fuego,MIA,Y,":SMD:Sopher McDophers sign CF **Rusty Nails**
:SMD:Sopher McDophers sign RF **Master Cashier**
:SMD:Sopher McDophers sig",,,,
Speedo Meter,,9,10,MIA,Miami Fuego,POR,Portland Pioneers,Y,1.0,CF Speedo Meter,2024-01-23,sign,Portland Pioneers,POR,Y,:Pioneers: Portland Pioneers sign CF **Speedo Meter**,,,,
Spike Suzuki,spike - vancouver vampires,5,6,HFX,Halifax Helmsmen,SMD,Sopher McDophers,Y,1.0,Spike - Vancouver Vampires,2021-04-28,draft,Peru Penguins,ACP,N,":peru: With the 4th overall pic in the WNC draft, the Peru Penguins select @Spike - Vancouver Vampires",,,,
Sticky Mickey Mantle,whitt is my best friend,6,7,HFX,Halifax Helmsmen,BFB,Blubs Bay Flappy Bois,Y,0.974,Pitcher Sticky Micky Mantle,2022-01-20,sign,Blubs Bay Flappy Bois,BFB,Y,:FlappyBois: Blubs Bay Flappy Bois sign Pitcher **Sticky Micky Mantle**,,,,
Strawberry Jones,,9,10,POR,Portland Pioneers,HFX,Halifax Helmsmen,Y,1.0,Strawberry Jones,2024-01-27,draft,HFX Halifax Highlanders,HFX,Y,"With the 7th overall pick in the S10 MLN Draft, the :HFX: *Halifax Highlanders* select 3B/UTIL **Strawberry Jones**",,,,
Strawberry Jones,,10,11,HFX,Halifax Helmsmen,MIA,Miami Fuego,Y,1.0,Strawberry Jones,2024-01-27,draft,HFX Halifax Highlanders,HFX,N,"With the 7th overall pick in the S10 MLN Draft, the :HFX: *Halifax Highlanders* select 3B/UTIL **Strawberry Jones**",,,,
Superbone Threefinger,superbone,4,5,BBG,Baldur's Gate Beholders,SUN,Sunnydale Slayers,Y,1.0,Superbone Threefinger,2020-09-22,sign,otters,OO,N,:otters: sign **Superbone Threefinger**,,,,
Superbone Threefinger,superbone,5,6,SUN,Sunnydale Slayers,OO,Oslo Otters,Y,1.0,Superbone Threefinger,2020-09-22,sign,otters,OO,Y,:otters: sign **Superbone Threefinger**,,,,
Superbone Threefinger,superbone,9,10,REK,Reykjavik Valkyries,MIA,Miami Fuego,Y,1.0,1B/UTIL Superbone Threefinger,2024-01-24,sign,Miami Fuego,MIA,Y,:MIA: Miami Fuego sign 1B/UTIL **Superbone Threefinger**,,,,
Superbone Threefinger,superbone,10,11,MIA,Miami Fuego,CAR,Carolina Reapers,Y,1.0,1B/UTIL Superbone Threefinger,2024-10-01,sign,Carolina Reapers,CAR,Y,:CAR:Carolina Reapers sign 1B/UTIL **Superbone Threefinger**,,,,
Syd Kidd,,1,2,LPJ,Lonestar Pumpjacks,POR,Portland Pioneers,N,0.435,DeadRedd,2019-07-23,draft,Ursa Major Grizzlies,,N,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd",DeadRedd,0.435,2019-07-23,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd"
Syd Kidd,,2,3,POR,Portland Pioneers,BBG,Baldur's Gate Beholders,N,0.435,DeadRedd,2019-07-23,draft,Ursa Major Grizzlies,,N,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd",DeadRedd,0.435,2019-07-23,"With the second pick in the Season 3 Draft, the Ursa Major Grizzlies select @DeadRedd"
Sylvia Bluesky,,11,12,ACP,Acadia Peregrines,SUN,Sunnydale Slayers,Y,1.0,Sylvia Bluesky,2025-09-20,draft,Sunnydale Slayers,SUN,Y,":SUN: With the 25th overall pick of the S12 MLN Draft, the *Sunnydale Slayers* select **Sylvia Bluesky**",,,,
Talon Wingdiver,talon wingdiver,9,10,POR,Portland Pioneers,MIA,Miami Fuego,Y,1.0,3B/UTIL Talon Wingdiver,2024-05-14,sign,Miami Fuego,MIA,Y,"## Session 7 Transactions

:KC: Kansas City release 1B/UTIL **Pope Coswi**

:MIA: Miami Fuego CF **Ferda Bois** retires
",,,,
Talon Wingdiver,talon wingdiver,10,11,MIA,Miami Fuego,BBEG,Baldur's Gate Beholders,Y,1.0,LF Talon Wingdiver,2024-10-01,sign,Beholders of Baldurs Gate,BBEG,Y,:BBEG: Beholders of Baldurs Gate sign LF **Talon Wingdiver**,,,,
Tanner Hendrix,relaxpats,2,3,CIN,Cincinnati Longhorns,MAL,Malibu Waverunners,Y,1.0,Tanner Hendrix,2020-05-14,release,Waverunners,MAL,Y,:Waverunners: release Tanner Hendrix,,,,
Teddy Ballinger,,1,2,MAL,Malibu Waverunners,KYM,Kentucky Mashers,N,0.533,Talon Wingdiver,2019-07-23,draft,Malibu Waverunners,,N,With the 25th pick the Malibu Waverunners select @Talon Wingdiver,Talon Wingdiver,0.533,2019-07-23,With the 25th pick the Malibu Waverunners select @Talon Wingdiver
Thelonius Junk,,3,4,SUN,Sunnydale Slayers,CIN,Cincinnati Longhorns,Y,1.0,Thelonius Junk,2020-02-23,draft,Cincinnati Red Longhorned Rhinos,CIN,Y,With the 27th overall pick in the S4 Draft the Cincinnati Red Longhorned Rhinos select **RF Thelonius Junk**,,,,
Thelonius Junk,,5,6,ASS,Aruba Sea Serpents,SUN,Sunnydale Slayers,Y,1.0,Thelonius Junk,2021-07-26,sign,slayers,SUN,Y,"~~Bad Bob Moment occurred~~ Backlog Cleanup:



**Pre-Season/Post Draft Transactions (Effective Sesssion 1)**

:Helmsmen",,,,
Thomas Nova,nov,1,2,SUN,Sunnydale Slayers,MAL,Malibu Waverunners,N,0.48,ooga,2018-12-02,draft,Henrik Omegas,,N,"With the first pick in the Season 2 Draft, the Henrik Omegas choose @ooga.",ooga,0.48,2018-12-02,"With the first pick in the Season 2 Draft, the Henrik Omegas choose @ooga."
Thomas Nova,nov,2,3,MAL,Malibu Waverunners,SUN,Sunnydale Slayers,N,0.545,Andrew Nova,2020-02-23,draft,Reyahgsdavik Valkyries,,N,With the 13th overall pick in the S4 Draft the Reyahgsdavik Valkyries select **P Andrew Nova**,Andrew Nova,0.545,2020-02-23,With the 13th overall pick in the S4 Draft the Reyahgsdavik Valkyries select **P Andrew Nova**
Thomas Nova,nov,4,5,SUN,Sunnydale Slayers,SMD,Sopher McDophers,Y,1.0,Thomas Nova,2020-09-21,sign,McDophers,SMD,Y,":BBG:  sign **Release T. Kraken**
:Rhinos:  sign **Harry Peritestes**
:McDophers:  sign **Thomas Nova**
:Helmsmen:  sign",,,,
Thomas Nova,nov,6,7,SMD,Sopher McDophers,SUN,Sunnydale Slayers,Y,1.0,Left Fielder Thomas Nova,2022-01-18,sign,Sunnydale Slayers,SUN,Y,:slayers: Sunnydale Slayers sign Left Fielder **Thomas Nova**,,,,
Thomas Nova,nov,9,10,SUN,Sunnydale Slayers,RC,Raccoon City Outbreak,Y,1.0,2B/UTIL Thomas Nova,2024-01-22,sign,Raccoon City Outbreak,RC,Y,:RC: Raccoon City Outbreak sign 2B/UTIL **Thomas Nova**,,,,
Thomas Thompson III,t3b - slayer gm & lg,1,2,MAL,Malibu Waverunners,SMD,Sopher McDophers,N,0.462,"rusty ""champion"" nails",2019-07-23,draft,Halifax Helmsmen,,N,"With the 12th pick in the season 3 draft, the Halifax Helmsmen select @rusty ""champion"" nails","rusty ""champion"" nails",0.462,2019-07-23,"With the 12th pick in the season 3 draft, the Halifax Helmsmen select @rusty ""champion"" nails"
Thomas Thompson III,t3b - slayer gm & lg,7,8,SMD,Sopher McDophers,SUN,Sunnydale Slayers,Y,1.0,3B Thomas Thompson III,2022-08-27,sign,Sunnydale Slayers,SUN,Y,:Slayers: Sunnydale Slayers sign 3B **Thomas Thompson III**,,,,
Tommy Tightpants,,6,7,BFB,Blubs Bay Flappy Bois,MAL,Malibu Waverunners,Y,1.0,Tommy Tightpants,2021-06-19,draft,Blubs Bay Flappy Bois,BFB,N,"With the 7th overall pick in the S6 Draft, the Blubs Bay Flappy Bois select **P Tommy Tightpants**",,,,
Tommy Tightpants,,7,8,MAL,Malibu Waverunners,BFB,Blubs Bay Flappy Bois,N,0.519,Jimmy Payne,2023-05-09,draft,Pioneers Portland Pioneers,,N,"With the 13th overall pick in the Season 9 MLN Draft, the :Pioneers: Portland Pioneers select **LF Jimmy Payne**",Jimmy Payne,0.519,2023-05-09,"With the 13th overall pick in the Season 9 MLN Draft, the :Pioneers: Portland Pioneers select **LF Jimmy Payne**"
Tony Bigdik,,1,2,SUN,Sunnydale Slayers,REK,Reykjavik Valkyries,N,0.615,Talon Wingdiver,2019-07-23,draft,Malibu Waverunners,,N,With the 25th pick the Malibu Waverunners select @Talon Wingdiver,Talon Wingdiver,0.615,2019-07-23,With the 25th pick the Malibu Waverunners select @Talon Wingdiver
Tony Bigdik,,2,3,REK,Reykjavik Valkyries,GHG,Gas House Gorillas,N,0.615,Talon Wingdiver,2019-07-23,draft,Malibu Waverunners,,N,With the 25th pick the Malibu Waverunners select @Talon Wingdiver,Talon Wingdiver,0.615,2019-07-23,With the 25th pick the Malibu Waverunners select @Talon Wingdiver
Tony Smehrik,tony smehrik third-time cy,2,3,BFB,Blubs Bay Flappy Bois,SMD,Sopher McDophers,N,0.522,m🚲cycle,2019-07-23,draft,Ursa Major Grizzlies,,N,With the 33rd pick the Ursa Major Grizzlies select @m🚲cycle,m🚲cycle,0.522,2019-07-23,With the 33rd pick the Ursa Major Grizzlies select @m🚲cycle
Tony Smehrik,tony smehrik third-time cy,3,4,SMD,Sopher McDophers,GRZ,Ursa Major Grizzlies,Y,0.727,Tony Stark,2020-09-26,sign,Ballatrix2,BUF,N,:Ballatrix2:  sign **Tony Stark**,,,,
Toppo Thamornin,zpheldin,5,6,BBG,Baldur's Gate Beholders,BFB,Blubs Bay Flappy Bois,Y,1.0,Zpheldin,2021-04-28,draft,Puerto Rico,ACP,N,":puertorico: With the 139th pick of the WNC draft, Puerto Rico selects @Zpheldin",,,,
Tucker Doubt,tucker doubt,3,9,MAL,Malibu Waverunners,MIA,Miami Fuego,Y,1.0,P Tucker Doubt,2023-05-04,sign,miami,MIA,Y,:miami: sign P **Tucker Doubt**,,,,
Tucker Doubt,tucker doubt,9,11,MIA,Miami Fuego,RC,Raccoon City Outbreak,Y,1.0,LF Tucker Doubt,2024-10-04,sign,Raccoon City,RC,Y,:RC: Raccoon City sign LF **Tucker Doubt**,,,,
Tucker Doubt,tucker doubt,11,12,RC,Raccoon City Outbreak,GRZ,Ursa Major Grizzlies,Y,1.0,LF Tucker Doubt,2024-10-04,sign,Raccoon City,RC,N,:RC: Raccoon City sign LF **Tucker Doubt**,,,,
Twatt Barton,,10,11,ACP,Acadia Peregrines,BBEG,Baldur's Gate Beholders,Y,1.0,??? Twatt Barton,2025-04-20,sign,Baldur's Gate Beholders,BBG,Y,":SMD:**Seeing Eye McGee** retires as a player one session after making me change his name
:SMD:**Sopher McDophers** sign",,,,
Tyler Palmatier,,6,7,KYM,Kentucky Mashers,BFB,Blubs Bay Flappy Bois,Y,0.889,1B/UTIL Ty Palmatier,2022-05-16,sign,Blubs Bay Flappy Bois,BFB,Y,"**Transactions effective Session 10**

we'll organize this by team...

:Waverunners: Malibu Waverunners sign 1B/UTIL **R",,,,
Tyrone Jennings III,,3,4,SHH,Sleepy Hollow Horsemen,REK,Reykjavik Valkyries,N,0.629,JEFFERS140,2019-07-23,draft,Sunnydale Slayers,,N,"With the 17th pick in the season 3 draft, the Sunnydale Slayers select @JEFFERS140",JEFFERS140,0.629,2019-07-23,"With the 17th pick in the season 3 draft, the Sunnydale Slayers select @JEFFERS140"
Ura Irons,ura irons,5,6,BUF,Buffalo Bullfrogs,OO,Oslo Otters,Y,1.0,Ura Irons,2021-04-28,draft,Israel,MAL,N,":israel: With the 113th pick in the neverending draft, Israel selects @Ura Irons",,,,
Viking Fishbird,,1,2,CIN,Cincinnati Longhorns,BFB,Blubs Bay Flappy Bois,N,0.4,KigerWulf,2018-12-02,draft,Malibu Waverunners,,N,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf",KigerWulf,0.4,2018-12-02,"With the twenty fourth pick in the Season 2 Draft, the Malibu Waverunners select @KigerWulf"
Viking Fishbird,,2,3,BFB,Blubs Bay Flappy Bois,NO,New Orleans Crawdads,N,0.48,King Kruul,2020-02-23,draft,Gassy Gorillas,,N,With the 10th overall pick in the S4 Draft the Gassy Gorillas select **RF King Kruul**,King Kruul,0.48,2020-02-23,With the 10th overall pick in the S4 Draft the Gassy Gorillas select **RF King Kruul**
Wallace Grommet,wally,8,9,GRZ,Ursa Major Grizzlies,GHG,Gas House Gorillas,Y,0.882,LHP Wallace Grommet,2023-09-15,sign,Gorillas,GHG,Y,"**Session 9 moves**

:Gorillas: sign LHP** Wallace Grommet**",,,,
Wallace Grommet,wally,10,11,GHG,Gas House Gorillas,SUN,Sunnydale Slayers,Y,1.0,P Wallace Grommet,2024-10-01,sign,Sunnydale Slayers,SUN,Y,:SUN:Sunnydale Slayers sign P **Wallace Grommet**,,,,
Wallace Grommet,wally,11,12,SUN,Sunnydale Slayers,GRZ,Ursa Major Grizzlies,Y,1.0,P Wallace Grommet,2024-10-01,sign,Sunnydale Slayers,SUN,N,:SUN:Sunnydale Slayers sign P **Wallace Grommet**,,,,
War Hamster,,1,2,MAL,Malibu Waverunners,LPJ,Lonestar Pumpjacks,N,0.5,CodyH,2019-07-23,draft,New Orleans Crawdads,,N,With the 43rd pick the New Orleans Crawdads select @CodyH,CodyH,0.5,2019-07-23,With the 43rd pick the New Orleans Crawdads select @CodyH
Will The Thrill,freewill99,4,5,MAL,Malibu Waverunners,ACP,Acadia Peregrines,Y,1.0,Will The Thrill,2020-09-21,sign,Peregrines,ACP,Y,:Peregrines: sign **Will The Thrill**,,,,
Willie Mays Hayes,,2,3,SUN,Sunnydale Slayers,NO,New Orleans Crawdads,N,0.471,Chevalier Mal Fet,2019-07-23,draft,Portland Pioneers,,N,With the 31st pick the Portland Pioneers select @Chevalier Mal Fet,Chevalier Mal Fet,0.471,2019-07-23,With the 31st pick the Portland Pioneers select @Chevalier Mal Fet
Willie Mays Hayes,,4,5,NO,New Orleans Crawdads,POR,Portland Pioneers,N,0.483,marisa (she/her),2021-04-29,draft,Peru,,N,":peru: With the 171th pick in the WNC draft, Peru selects @marisa (she/her)",marisa (she/her),0.483,2021-04-29,":peru: With the 171th pick in the WNC draft, Peru selects @marisa (she/her)"
Willie Mays Hayes,,5,6,POR,Portland Pioneers,ACP,Acadia Peregrines,Y,1.0,Willie Mays Hayes,2021-07-26,release,Pioneers,POR,N,"**Session 3 Transactions (Effective Session 4)**

:Pioneers:  Release **Willie Mays Hayes** (2B) & Sign  **Damien Anders",,,,
Willie Mays Hayes,,7,9,ACP,Acadia Peregrines,MIA,Miami Fuego,Y,1.0,2b Willie Mays Hayes,2023-05-07,sign,miami,MIA,Y,:miami: sign 2b **Willie Mays Hayes**,,,,
Willie Mays Hayes,,10,11,MIA,Miami Fuego,HFX,Halifax Helmsmen,N,0.483,1B/UTIL Swiftie ESPN,2025-04-20,sign,Sopher McDophers,,N,":SMD:**Seeing Eye McGee** retires as a player one session after making me change his name
:SMD:**Sopher McDophers** sign",1B/UTIL Swiftie ESPN,0.483,2025-04-20,":SMD:**Seeing Eye McGee** retires as a player one session after making me change his name
:SMD:**Sopher McDophers** sign"
Willoughby Hoose,,1,2,BFB,Blubs Bay Flappy Bois,REK,Reykjavik Valkyries,N,0.452,Freewill99,2019-07-23,draft,Gas House Gorillas,,N,"With the 16th pick in the season 3 draft, the Gas House Gorillas select @Freewill99",Freewill99,0.452,2019-07-23,"With the 16th pick in the season 3 draft, the Gas House Gorillas select @Freewill99"
Xavier McMagic,,8,9,REK,Reykjavik Valkyries,OGO,Ogaki Oni,N,0.545,Pitcher Six Finger McMillan,2022-01-18,sign,Malibu Waverunners,,N,:Waverunners: Malibu Waverunners sign Pitcher **Six Finger McMillan**,Pitcher Six Finger McMillan,0.545,2022-01-18,:Waverunners: Malibu Waverunners sign Pitcher **Six Finger McMillan**
Xavier Phoenix,touchdownmike55,2,3,REK,Reykjavik Valkyries,SHH,Sleepy Hollow Horsemen,Y,1.0,Touchdownmike55,2018-12-02,draft,Henrik Omegas,SMD,N,"With the thirty fifth pick in the Season 2 Draft, the Henrik Omegas select @Touchdownmike55",,,,
Xerxes Dalin,,3,4,KYM,Kentucky Mashers,BFB,Blubs Bay Flappy Bois,Y,1.0,Xerxes Dalin,2020-02-23,draft,Blubs Bay Flappy Bois,BFB,Y,With the 14th overall pick in the S4 Draft the Blubs Bay Flappy Bois select **SS Xerxes Dalin**,,,,
Y.E. Wally,,8,9,ACP,Acadia Peregrines,GHG,Gas House Gorillas,Y,0.875,W.E. Wally,2023-04-19,draft,Freedom Flyers,CAR,N,"🇺🇸 With the 80th overall pick of the WNC Draft, the Freedom Flyers select **P W.E. Wally**",,,,
Yoel Roshi,,3,4,SMD,Sopher McDophers,BUF,Buffalo Bullfrogs,N,0.5,Bryzzo El Mago,2019-07-23,draft,New Orleans Crawdads,,N,With the 41st pick the New Orleans Crawdads select @Bryzzo El Mago,Bryzzo El Mago,0.5,2019-07-23,With the 41st pick the New Orleans Crawdads select @Bryzzo El Mago
Yoel Roshi,,7,9,BUF,Buffalo Bullfrogs,GRZ,Ursa Major Grizzlies,Y,1.0,1B Yoel Roshi,2023-05-04,sign,Grizzlies,GRZ,Y,:Grizzlies: sign 1B **Yoel Roshi**,,,,
Yolanda Martinez,,2,3,HFX,Halifax Helmsmen,NO,New Orleans Crawdads,N,0.556,jlh2b,2018-12-02,draft,Vancouver Vampires,,N,"With the sixth pick in the Season 2 Draft, the Vancouver Vampires select @jlh2b.",jlh2b,0.556,2018-12-02,"With the sixth pick in the Season 2 Draft, the Vancouver Vampires select @jlh2b."
Zed Leona,m̶e̶l̶o̸n̶h̶e̷a̶d̶ ̷z̸e̴d̸,1,2,CIN,Cincinnati Longhorns,HMH,Humongous Melonheads,N,0.5,Maud Nelson,2018-12-02,draft,Henrik Omegas,,N,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson",Maud Nelson,0.5,2018-12-02,"With the forty seventh pick in the Season 2 Draft, the Henrik Omegas select @Maud Nelson"
Zin Martinez,,8,9,BFB,Blubs Bay Flappy Bois,HFX,Halifax Helmsmen,Y,1.0,RF Zin Martinez,2023-05-04,sign,highlanders,HFX,Y,:highlanders: sign RF **Zin Martinez**,,,,
